policy_id,policy_nar,departmer,effective_year
POL001,Policy Description 1,R&D,2021
POL002,Policy Description 2,Finance,2022
POL003,Policy Description 3,IT,2023
POL004,Policy Description 4,Marketing,2024
POL005,Policy Description 5,Operations,2025
POL006,Policy Description 6,HR,2020
POL007,Policy Description 7,R&D,2021
POL008,Policy Description 8,Finance,2022
POL009,Policy Description 9,IT,2023
POL010,Policy Description 10,Marketing,2024
POL011,Policy Description 11,Operations,2025
POL012,Policy Description 12,HR,2020
POL013,Policy Description 13,R&D,2021
POL014,Policy Description 14,Finance,2022
POL015,Policy Description 15,IT,2023
POL016,Policy Description 16,Marketing,2024
POL017,Policy Description 17,Operations,2025
POL018,Policy Description 18,HR,2020
POL019,Policy Description 19,R&D,2021
POL020,Policy Description 20,Finance,2022
POL021,Policy Description 21,IT,2023
POL022,Policy Description 22,Marketing,2024
POL023,Policy Description 23,Operations,2025
POL024,Policy Description 24,HR,2020
POL025,Policy Description 25,R&D,2021
POL026,Policy Description 26,Finance,2022
POL027,Policy Description 27,IT,2023
POL028,Policy Description 28,Marketing,2024
POL029,Policy Description 29,Operations,2025
POL030,Policy Description 30,HR,2020
POL031,Policy Description 31,R&D,2021
POL032,Policy Description 32,Finance,2022
POL033,Policy Description 33,IT,2023
POL034,Policy Description 34,Marketing,2024
POL035,Policy Description 35,Operations,2025
POL036,Policy Description 36,HR,2020
POL037,Policy Description 37,R&D,2021
POL038,Policy Description 38,Finance,2022
POL039,Policy Description 39,IT,2023
POL040,Policy Description 40,Marketing,2024
POL041,Policy Description 41,Operations,2025
POL042,Policy Description 42,HR,2020
POL043,Policy Description 43,R&D,2021
POL044,Policy Description 44,Finance,2022
POL045,Policy Description 45,IT,2023
POL046,Policy Description 46,Marketing,2024
POL047,Policy Description 47,Operations,2025
POL048,Policy Description 48,HR,2020
POL049,Policy Description 49,R&D,2021
POL050,Policy Description 50,Finance,2022
