vendor_id,vendor_na,service
V001,Vendor1,AI Consulting
V002,Vendor2,Cybersecurity
V003,Vendor3,Data Analytics
V004,Vendor4,DevOps
V005,Vendor5,ERP Solutions
V006,Vendor6,Cloud Infrastructure
V007,Vendor7,AI Consulting
V008,Vendor8,Cybersecurity
V009,Vendor9,Data Analytics
V010,Vendor10,DevOps
V011,Vendor11,ERP Solutions
V012,Vendor12,Cloud Infrastructure
V013,Vendor13,AI Consulting
V014,Vendor14,Cybersecurity
V015,Vendor15,Data Analytics
V016,Vendor16,DevOps
V017,Vendor17,ERP Solutions
V018,Vendor18,Cloud Infrastructure
V019,Vendor19,AI Consulting
V020,Vendor20,Cybersecurity
V021,Vendor21,Data Analytics
V022,Vendor22,DevOps
V023,Vendor23,ERP Solutions
V024,Vendor24,Cloud Infrastructure
V025,Vendor25,AI Consulting
V026,Vendor26,Cybersecurity
V027,Vendor27,Data Analytics
V028,Vendor28,DevOps
V029,Vendor29,ERP Solutions
V030,Vendor30,Cloud Infrastructure
V031,Vendor31,AI Consulting
V032,Vendor32,Cybersecurity
V033,Vendor33,Data Analytics
V034,Vendor34,DevOps
V035,Vendor35,ERP Solutions
V036,Vendor36,Cloud Infrastructure
V037,Vendor37,AI Consulting
V038,Vendor38,Cybersecurity
V039,Vendor39,Data Analytics
V040,Vendor40,DevOps
V041,Vendor41,ERP Solutions
V042,Vendor42,Cloud Infrastructure
V043,Vendor43,AI Consulting
V044,Vendor44,Cybersecurity
V045,Vendor45,Data Analytics
V046,Vendor46,DevOps
V047,Vendor47,ERP Solutions
V048,Vendor48,Cloud Infrastructure
V049,Vendor49,AI Consulting
V050,Vendor50,Cybersecurity
